trip_id,trajectory,method,seed,distance_km,duration_s,observed_energy_kwh,predicted_energy_kwh,signed_error_kwh,absolute_error_kwh,percentage_error,heldout_trajectory
T1_07_01_2021,T1,pinn,0,37.8237152777776,4534.0,3.3528,3.2968923452682795,-0.055907654731720324,0.055907654731720324,-1.6674914916404298,T1
T2_03_29_2021,T2,physics,0,59.56506111111094,8577.0,4.734,3.6275427119476333,-1.1064572880523666,1.1064572880523666,-23.372566287544714,T2
T2_03_29_2021,T2,elasticnet,0,59.56506111111094,8577.0,4.734,4.7026574787552775,-0.03134252124472248,0.03134252124472248,-0.6620726921149657,T2
T2_03_29_2021,T2,weak_mlp,0,59.56506111111094,8577.0,4.734,6.862628564503458,2.128628564503458,2.128628564503458,44.96469295529062,T2
T2_03_29_2021,T2,pinn,0,59.56506111111094,8577.0,4.734,4.8434551778808235,0.10945517788082348,0.10945517788082348,2.31210768654042,T2
T2_03_30_2021,T2,physics,0,53.31752638888871,6923.0,4.2384,3.237291999386653,-1.0011080006133475,1.0011080006133475,-23.619950939348513,T2
T2_03_30_2021,T2,elasticnet,0,53.31752638888871,6923.0,4.2384,4.3104293378514225,0.07202933785142207,0.07202933785142207,1.6994464385480856,T2
T2_03_30_2021,T2,weak_mlp,0,53.31752638888871,6923.0,4.2384,5.536075572106574,1.2976755721065736,1.2976755721065736,30.617109572163393,T2
T2_03_30_2021,T2,pinn,0,53.31752638888871,6923.0,4.2384,4.485742886401713,0.24734288640171265,0.24734288640171265,5.835760815442446,T2
T2_04_26_2021,T2,physics,0,47.0322861111105,5852.0,3.894,2.6992769299991366,-1.1947230700008635,1.1947230700008635,-30.681126605055557,T2
T2_04_26_2021,T2,elasticnet,0,47.0322861111105,5852.0,3.894,3.8487773981245472,-0.045222601875452906,0.045222601875452906,-1.1613405720455292,T2
T2_04_26_2021,T2,weak_mlp,0,47.0322861111105,5852.0,3.894,4.95067464378145,1.0566746437814496,1.0566746437814496,27.135969280468657,T2
T2_04_26_2021,T2,pinn,0,47.0322861111105,5852.0,3.894,4.185451275855303,0.2914512758553025,0.2914512758553025,7.484624444152606,T2
T3_04_22_2021_1,T3,physics,0,14.147080555555583,1048.0,1.1243999999999996,0.8671254750330046,-0.257274524966995,0.257274524966995,-22.881049890341078,T3
T3_04_22_2021_1,T3,elasticnet,0,14.147080555555583,1048.0,1.1243999999999996,2.3136146301337486,1.189214630133749,1.189214630133749,105.76437478955437,T3
T3_04_22_2021_1,T3,weak_mlp,0,14.147080555555583,1048.0,1.1243999999999996,1.0654515586958992,-0.058948441304100374,0.058948441304100374,-5.242657533271113,T3
T3_04_22_2021_1,T3,pinn,0,14.147080555555583,1048.0,1.1243999999999996,1.0910231304960325,-0.03337686950396712,0.03337686950396712,-2.968415999997077,T3
T3_04_22_2021_2,T3,physics,0,15.478416666666723,1097.0,1.7783999999999998,1.130190430330537,-0.6482095696694627,0.6482095696694627,-36.44903113301073,T3
T3_04_22_2021_2,T3,elasticnet,0,15.478416666666723,1097.0,1.7783999999999998,2.380092699872498,0.6016926998724983,0.6016926998724983,33.833372687387445,T3
T3_04_22_2021_2,T3,weak_mlp,0,15.478416666666723,1097.0,1.7783999999999998,1.1732817312743928,-0.6051182687256069,0.6051182687256069,-34.025993518084064,T3
T3_04_22_2021_2,T3,pinn,0,15.478416666666723,1097.0,1.7783999999999998,1.3722963913964727,-0.406103608603527,0.406103608603527,-22.835335616482627,T3
T3_04_26_2021_1,T3,physics,0,14.34297083333336,1031.0,1.4676000000000005,0.8865242264684328,-0.5810757735315677,0.5810757735315677,-39.59360680918285,T3
T3_04_26_2021_1,T3,elasticnet,0,14.34297083333336,1031.0,1.4676000000000005,2.3249721939099026,0.8573721939099022,0.8573721939099022,58.42001866379817,T3
T3_04_26_2021_1,T3,weak_mlp,0,14.34297083333336,1031.0,1.4676000000000005,0.9735660691393746,-0.49403393086062586,0.49403393086062586,-33.66270992509033,T3
T3_04_26_2021_1,T3,pinn,0,14.34297083333336,1031.0,1.4676000000000005,1.082273965521405,-0.38532603447859537,0.38532603447859537,-26.255521564363264,T3
T3_04_26_2021_2,T3,physics,0,15.6523166666667,1032.0,1.5179999999999998,1.1209338597467944,-0.3970661402532054,0.3970661402532054,-26.15718974000036,T3
T3_04_26_2021_2,T3,elasticnet,0,15.6523166666667,1032.0,1.5179999999999998,2.390323924802175,0.872323924802175,0.872323924802175,57.465344189866606,T3
T3_04_26_2021_2,T3,weak_mlp,0,15.6523166666667,1032.0,1.5179999999999998,0.9731075575616625,-0.5448924424383373,0.5448924424383373,-35.89541781543725,T3
