epoch,train_loss,val_window_mae_kwh,grad_norm,w_state,loss,w_window,l_window,l_state
22.0,0.8595036473125219,,6.6939235011007385,0.7863874137401581,0.8595036473125219,0.07311621680855751,0.07311621680855751,7.863874137401581
23.0,0.8853118903934956,,7.0678486250715675,0.7492018669843674,0.8853118903934956,0.1361099942587316,0.1361099942587316,7.492018669843674
24.0,0.797599432989955,,6.796837572418793,0.714301735162735,0.797599432989955,0.0832976761739701,0.0832976761739701,7.14301735162735
25.0,0.7643199916929007,,6.618599647307985,0.6493760615587234,0.7643199916929007,0.11494391085579991,0.11494391085579991,6.4937606155872345
26.0,0.6893827244639397,,6.601250197211124,0.6175196826457977,0.6893827244639397,0.07186303078196943,0.07186303078196943,6.175196826457977
27.0,0.6719167102128267,,6.783199822375159,0.5722621172666551,0.6719167102128267,0.09965458302758634,0.09965458302758634,5.72262117266655
28.0,0.6685079708695412,,7.015359428128533,0.543762768805027,0.6685079708695412,0.12474519037641585,0.12474519037641585,5.43762768805027
29.0,0.6724345851689577,,6.771133011581938,0.539156773686409,0.6724345851689577,0.13327779318206012,0.13327779318206012,5.39156773686409
30.0,0.558636368252337,,6.46639032633478,0.48874266222119334,0.558636368252337,0.06989369471557438,0.06989369471557438,4.887426622211933
31.0,0.523643659427762,,6.265810801320162,0.43343939408659937,0.523643659427762,0.09020425518974662,0.09020425518974662,4.3343939408659935
32.0,0.4905240247026086,,6.119319485601746,0.41356875076889993,0.4905240247026086,0.07695526932366192,0.07695526932366192,4.135687507688999
33.0,0.48583684768527746,,6.350199395847953,0.3985940039157867,0.48583684768527746,0.08724283264018595,0.08724283264018595,3.9859400391578674
34.0,0.4809078611433506,,6.269205723257736,0.3925876714289188,0.4809078611433506,0.08832018240354955,0.08832018240354955,3.9258767142891884
35.0,0.5099361930042505,,6.6834154462417334,0.3824472278356552,0.5099361930042505,0.1274889619089663,0.1274889619089663,3.824472278356552
36.0,0.4911052379757166,,6.173465126393159,0.3685938995331526,0.4911052379757166,0.12251133448444307,0.12251133448444307,3.685938995331526
37.0,0.4253341844305396,,6.080723319117132,0.353813162446022,0.4253341844305396,0.07152101688552648,0.07152101688552648,3.5381316244602203
38.0,0.46427740063518286,,6.357767816370334,0.39279773086309433,0.46427740063518286,0.07147966255433857,0.07147966255433857,3.9279773086309433
39.0,0.43768036644905806,,6.327671590808281,0.3528024047613144,0.43768036644905806,0.08487795572727919,0.08487795572727919,3.528024047613144
40.0,0.4282616637647152,,6.134286611812838,0.3453680358827114,0.4282616637647152,0.08289362431969494,0.08289362431969494,3.453680358827114
41.0,0.4406539425253868,,6.422333237748065,0.3554850578308106,0.4406539425253868,0.08516887668520212,0.08516887668520212,3.5548505783081055
42.0,0.4413026813417673,,6.33579465438361,0.3594572484493256,0.4413026813417673,0.08184541785158217,0.08184541785158217,3.5945724844932556
43.0,0.40244333259761333,,6.0489973949127425,0.32618622183799745,0.40244333259761333,0.07625710556749254,0.07625710556749254,3.2618622183799744
44.0,0.4465584624558687,,6.451815696687851,0.31962164752185346,0.4465584624558687,0.1269368149805814,0.1269368149805814,3.1962164752185345
45.0,0.4301183186471462,,6.234250003244483,0.35712319388985636,0.4301183186471462,0.07299511739984155,0.07299511739984155,3.5712319388985634
46.0,0.41082497499883175,,6.173035161404846,0.3159148007631302,0.41082497499883175,0.09491016948595643,0.09491016948595643,3.159148007631302
