epoch,train_loss,val_window_mae_kwh,grad_norm,l_state,w_state,loss,l_window,w_window
32.0,0.48484006337821484,,5.876698300392688,4.096958696842194,0.4096958696842194,0.48484006337821484,0.07514419383369386,0.07514419383369386
33.0,0.4530995115637779,,5.868289442275573,3.798978663980961,0.3798978663980961,0.4530995115637779,0.07320163608528674,0.07320163608528674
34.0,0.42069393396377563,,5.550248597837179,3.5332690626382828,0.3533269062638283,0.42069393396377563,0.06736702588386834,0.06736702588386834
35.0,0.429271356202662,,6.003366346618607,3.482730858027935,0.3482730858027935,0.429271356202662,0.08099826076067984,0.08099826076067984
36.0,0.4713188037276268,,5.954685190672702,3.709567006677389,0.37095670066773895,0.4713188037276268,0.10036209947429597,0.10036209947429597
37.0,0.4352903049439192,,5.905858148644917,3.2440586239099503,0.324405862390995,0.4352903049439192,0.11088444059714675,0.11088444059714675
38.0,0.3967365464195609,,5.674338197692059,3.0929640233516693,0.3092964023351669,0.3967365464195609,0.0874401368200779,0.0874401368200779
39.0,0.45226672012358904,,6.168178568723197,3.4298972859978676,0.34298972859978677,0.45226672012358904,0.10927698668092489,0.10927698668092489
40.0,0.432301695458591,,6.152595394070955,3.0854215398430824,0.3085421539843083,0.432301695458591,0.12375954096205533,0.12375954096205533
41.0,0.371162636205554,,5.4911143764176735,3.0544929392635822,0.3054492939263582,0.371162636205554,0.06571333692409098,0.06571333692409098
42.0,0.4172848956659436,,5.742378433656704,3.4310945607721806,0.3431094560772181,0.4172848956659436,0.0741754355840385,0.0741754355840385
43.0,0.3911619270220399,,5.807685001234484,3.1207613572478294,0.312076135724783,0.3911619270220399,0.07908578403294086,0.07908578403294086
44.0,0.3866761615499854,,5.613356576355015,3.099543195217848,0.30995431952178476,0.3866761615499854,0.07672184007242322,0.07672184007242322
45.0,0.4414616534486413,,5.982099303573088,3.2749472856521606,0.3274947285652161,0.4414616534486413,0.11396691878326237,0.11396691878326237
46.0,0.38747852481901646,,5.772676337292512,3.0513828471302986,0.30513828471302984,0.38747852481901646,0.08234023419208825,0.08234023419208825
47.0,0.4389718258753419,,6.0144942981775245,3.103343650698662,0.3103343650698662,0.4389718258753419,0.12863746308721602,0.12863746308721602
