trip_id,trajectory,method,seed,distance_km,duration_s,observed_energy_kwh,predicted_energy_kwh,signed_error_kwh,absolute_error_kwh,percentage_error,n_train,repeat,subset_ids,reused_loto
T1_03_29_2021,T1,weak_mlp,0,49.61069722222272,6198.0,4.3524,4.963331586917242,0.6109315869172418,0.6109315869172418,14.036659932847206,16,0,"T1_06_30_2021_1,T1_06_30_2021_2,T1_07_01_2021,T2_03_29_2021,T2_03_30_2021,T2_04_26_2021,T3_04_22_2021_1,T3_04_22_2021_2,T3_04_26_2021_1,T3_04_26_2021_2,T3_05_25_2021_04,T3_05_25_2021_1,T3_05_25_2021_2,T3_05_25_2021_3,T3_05_31_2021,T3_06_07_2021",True
T1_03_29_2021,T1,pinn,0,49.61069722222272,6198.0,4.3524,3.650935291835728,-0.7014647081642722,0.7014647081642722,-16.11673348415293,16,0,"T1_06_30_2021_1,T1_06_30_2021_2,T1_07_01_2021,T2_03_29_2021,T2_03_30_2021,T2_04_26_2021,T3_04_22_2021_1,T3_04_22_2021_2,T3_04_26_2021_1,T3_04_26_2021_2,T3_05_25_2021_04,T3_05_25_2021_1,T3_05_25_2021_2,T3_05_25_2021_3,T3_05_31_2021,T3_06_07_2021",True
T1_06_30_2021_1,T1,physics,0,45.64408055555533,5233.0,3.818400000000001,2.753227787393527,-1.065172212606473,1.065172212606473,-27.895773428830747,0,0,,
T1_06_30_2021_1,T1,elasticnet,0,45.64408055555533,5233.0,3.818400000000001,3.1749235025067675,-0.643476497493233,0.643476497493233,-16.85199291570377,3,0,"T1_07_01_2021,T2_03_29_2021,T3_06_07_2021",
T1_06_30_2021_1,T1,weak_mlp,0,45.64408055555533,5233.0,3.818400000000001,4.079955768154727,0.261555768154726,0.261555768154726,6.849878696698251,3,0,"T1_07_01_2021,T2_03_29_2021,T3_06_07_2021",
T1_06_30_2021_1,T1,pinn,0,45.64408055555533,5233.0,3.818400000000001,4.059002282849202,0.2406022828492018,0.2406022828492018,6.301128295862188,3,0,"T1_07_01_2021,T2_03_29_2021,T3_06_07_2021",
T1_06_30_2021_1,T1,elasticnet,0,45.64408055555533,5233.0,3.818400000000001,3.4391025751351,-0.3792974248649008,0.3792974248649008,-9.933412551458748,3,1,"T1_03_29_2021,T2_03_29_2021,T3_04_26_2021_1",
T1_06_30_2021_1,T1,weak_mlp,0,45.64408055555533,5233.0,3.818400000000001,4.69440723747015,0.8760072374701497,0.8760072374701497,22.94173573931881,3,1,"T1_03_29_2021,T2_03_29_2021,T3_04_26_2021_1",
T1_06_30_2021_1,T1,pinn,0,45.64408055555533,5233.0,3.818400000000001,3.90263892608436,0.0842389260843599,0.0842389260843599,2.206131523265239,3,1,"T1_03_29_2021,T2_03_29_2021,T3_04_26_2021_1",
T1_06_30_2021_1,T1,elasticnet,0,45.64408055555533,5233.0,3.818400000000001,3.6665357593529433,-0.1518642406470571,0.1518642406470571,-3.9771695120222383,3,2,"T1_06_30_2021_2,T2_03_29_2021,T3_05_25_2021_04",
T1_06_30_2021_1,T1,weak_mlp,0,45.64408055555533,5233.0,3.818400000000001,3.54608779920472,-0.2723122007952803,0.2723122007952803,-7.131578692522529,3,2,"T1_06_30_2021_2,T2_03_29_2021,T3_05_25_2021_04",
T1_06_30_2021_1,T1,pinn,0,45.64408055555533,5233.0,3.818400000000001,3.7015488449111578,-0.1168511550888427,0.1168511550888427,-3.0602125258967807,3,2,"T1_06_30_2021_2,T2_03_29_2021,T3_05_25_2021_04",
T1_06_30_2021_1,T1,elasticnet,0,45.64408055555533,5233.0,3.818400000000001,3.522370359046461,-0.2960296409535399,0.2960296409535399,-7.7527142508259965,5,0,"T1_06_30_2021_2,T2_03_30_2021,T3_05_25_2021_04,T3_05_25_2021_2,T3_05_25_2021_3",
T1_06_30_2021_1,T1,weak_mlp,0,45.64408055555533,5233.0,3.818400000000001,6.008781308796671,2.1903813087966704,2.1903813087966704,57.36385158172717,5,0,"T1_06_30_2021_2,T2_03_30_2021,T3_05_25_2021_04,T3_05_25_2021_2,T3_05_25_2021_3",
T1_06_30_2021_1,T1,pinn,0,45.64408055555533,5233.0,3.818400000000001,3.445900352928891,-0.3724996470711095,0.3724996470711095,-9.755385686965992,5,0,"T1_06_30_2021_2,T2_03_30_2021,T3_05_25_2021_04,T3_05_25_2021_2,T3_05_25_2021_3",
T1_06_30_2021_1,T1,elasticnet,0,45.64408055555533,5233.0,3.818400000000001,3.868078766125053,0.0496787661250519,0.0496787661250519,1.301036196444897,5,1,"T1_07_01_2021,T2_03_29_2021,T3_04_26_2021_2,T3_05_25_2021_04,T3_05_25_2021_2",
T1_06_30_2021_1,T1,weak_mlp,0,45.64408055555533,5233.0,3.818400000000001,4.029890538089806,0.2114905380898051,0.2114905380898051,5.538721403986096,5,1,"T1_07_01_2021,T2_03_29_2021,T3_04_26_2021_2,T3_05_25_2021_04,T3_05_25_2021_2",
T1_06_30_2021_1,T1,pinn,0,45.64408055555533,5233.0,3.818400000000001,3.948965536504984,0.1305655365049838,0.1305655365049838,3.419378182091551,5,1,"T1_07_01_2021,T2_03_29_2021,T3_04_26_2021_2,T3_05_25_2021_04,T3_05_25_2021_2",
T1_06_30_2021_1,T1,elasticnet,0,45.64408055555533,5233.0,3.818400000000001,3.193297740438012,-0.6251022595619884,0.6251022595619884,-16.370790371935584,5,2,"T1_03_29_2021,T2_03_29_2021,T3_04_22_2021_1,T3_04_26_2021_1,T3_05_25_2021_2",
T1_06_30_2021_1,T1,weak_mlp,0,45.64408055555533,5233.0,3.818400000000001,5.043794941339228,1.2253949413392276,1.2253949413392276,32.091843215462696,5,2,"T1_03_29_2021,T2_03_29_2021,T3_04_22_2021_1,T3_04_26_2021_1,T3_05_25_2021_2",
T1_06_30_2021_1,T1,pinn,0,45.64408055555533,5233.0,3.818400000000001,3.672878728438324,-0.1455212715616767,0.1455212715616767,-3.811053623551139,5,2,"T1_03_29_2021,T2_03_29_2021,T3_04_22_2021_1,T3_04_26_2021_1,T3_05_25_2021_2",
T1_06_30_2021_1,T1,elasticnet,0,45.64408055555533,5233.0,3.818400000000001,3.2646689781474376,-0.5537310218525628,0.5537310218525628,-14.501650478015996,8,0,"T1_07_01_2021,T2_03_29_2021,T2_04_26_2021,T3_04_22_2021_1,T3_04_22_2021_2,T3_05_25_2021_1,T3_05_31_2021,T3_06_07_2021",
T1_06_30_2021_1,T1,weak_mlp,0,45.64408055555533,5233.0,3.818400000000001,4.33342990335491,0.5150299033549093,0.5150299033549093,13.488107672190164,8,0,"T1_07_01_2021,T2_03_29_2021,T2_04_26_2021,T3_04_22_2021_1,T3_04_22_2021_2,T3_05_25_2021_1,T3_05_31_2021,T3_06_07_2021",
T1_06_30_2021_1,T1,pinn,0,45.64408055555533,5233.0,3.818400000000001,3.799012096475603,-0.0193879035243975,0.0193879035243975,-0.5077494113869045,8,0,"T1_07_01_2021,T2_03_29_2021,T2_04_26_2021,T3_04_22_2021_1,T3_04_22_2021_2,T3_05_25_2021_1,T3_05_31_2021,T3_06_07_2021",
T1_06_30_2021_1,T1,elasticnet,0,45.64408055555533,5233.0,3.818400000000001,3.169342309944258,-0.6490576900557423,0.6490576900557423,-16.998158654298717,8,1,"T1_03_29_2021,T1_06_30_2021_2,T2_04_26_2021,T3_04_22_2021_1,T3_04_26_2021_1,T3_04_26_2021_2,T3_05_31_2021,T3_06_07_2021",
T1_06_30_2021_1,T1,weak_mlp,0,45.64408055555533,5233.0,3.818400000000001,4.509426880876223,0.6910268808762225,0.6910268808762225,18.09728893977117,8,1,"T1_03_29_2021,T1_06_30_2021_2,T2_04_26_2021,T3_04_22_2021_1,T3_04_26_2021_1,T3_04_26_2021_2,T3_05_31_2021,T3_06_07_2021",
T1_06_30_2021_1,T1,pinn,0,45.64408055555533,5233.0,3.818400000000001,3.8688645553361214,0.0504645553361209,0.0504645553361209,1.3216152141242647,8,1,"T1_03_29_2021,T1_06_30_2021_2,T2_04_26_2021,T3_04_22_2021_1,T3_04_26_2021_1,T3_04_26_2021_2,T3_05_31_2021,T3_06_07_2021",
T1_06_30_2021_1,T1,elasticnet,0,45.64408055555533,5233.0,3.818400000000001,3.462746493041412,-0.3556535069585882,0.3556535069585882,-9.314202465917353,8,2,"T1_03_29_2021,T2_03_29_2021,T3_04_22_2021_1,T3_04_22_2021_2,T3_04_26_2021_2,T3_05_25_2021_1,T3_05_31_2021,T3_06_07_2021",
T1_06_30_2021_1,T1,weak_mlp,0,45.64408055555533,5233.0,3.818400000000001,5.714776421056853,1.8963764210568528,1.8963764210568528,49.66416355166699,8,2,"T1_03_29_2021,T2_03_29_2021,T3_04_22_2021_1,T3_04_22_2021_2,T3_04_26_2021_2,T3_05_25_2021_1,T3_05_31_2021,T3_06_07_2021",
T1_06_30_2021_1,T1,pinn,0,45.64408055555533,5233.0,3.818400000000001,4.02627482556738,0.2078748255673792,0.2078748255673792,5.444029582217138,8,2,"T1_03_29_2021,T2_03_29_2021,T3_04_22_2021_1,T3_04_22_2021_2,T3_04_26_2021_2,T3_05_25_2021_1,T3_05_31_2021,T3_06_07_2021",
T1_06_30_2021_1,T1,elasticnet,0,45.64408055555533,5233.0,3.818400000000001,3.312016230011946,-0.5063837699880547,0.5063837699880547,-13.261674261157935,12,0,"T1_03_29_2021,T1_06_30_2021_2,T2_03_29_2021,T2_03_30_2021,T2_04_26_2021,T3_04_22_2021_2,T3_04_26_2021_2,T3_05_25_2021_1,T3_05_25_2021_2,T3_05_25_2021_3,T3_05_31_2021,T3_06_07_2021",
