trip_id,trajectory,method,seed,distance_km,duration_s,observed_energy_kwh,predicted_energy_kwh,signed_error_kwh,absolute_error_kwh,percentage_error,selected_epoch,final_retrain_epochs,validation_score,power_min,power_max,saturation_fraction,mean_abs_deltaP,max_abs_deltaP,state_mae_pp,dynamics_residual_mean,dynamics_residual_rmse
T3_04_22_2021_2,T3,pinn_fulltrip,1,15.478416666666725,1097.0,1.7783999999999998,1.4693770512276223,-0.3090229487723772,0.3090229487723772,-17.376459107758507,1.0,2.0,0.0999547615647316,-3.013425827026367,23.573884963989254,0.0,1.1129861433323616,1.226360559463501,13.129433142233411,-0.0223942138254642,0.0476452484726905
T3_04_22_2021_2,T3,pinn,1,15.478416666666725,1097.0,1.7783999999999998,1.531520927426302,-0.2468790725736978,0.2468790725736978,-13.882089101085125,3.0,4.0,0.0406126454472541,-2.576085090637207,23.88106346130371,0.0,1.3161381235471732,1.785239338874817,10.828682348139733,-0.0251760389655828,0.2716850638389587
T3_04_26_2021_1,T3,constant,1,14.34297083333336,1031.0,1.4676000000000005,1.263623547873341,-0.2039764521266593,0.2039764521266593,-13.898640782683248,,,,,,,,,,,
T3_04_26_2021_1,T3,physics,1,14.34297083333336,1031.0,1.4676000000000005,0.8865242264684328,-0.5810757735315677,0.5810757735315677,-39.59360680918285,,,,,,,,,,,
T3_04_26_2021_1,T3,elasticnet,1,14.34297083333336,1031.0,1.4676000000000005,1.5818258351501673,0.1142258351501668,0.1142258351501668,7.783172196113846,,,,,,,,,,,
T3_04_26_2021_1,T3,weak_mlp,1,14.34297083333336,1031.0,1.4676000000000005,1.4331485090653102,-0.0344514909346902,0.0344514909346902,-2.3474714455362653,38.0,39.0,0.063511427026242,-1.3005685806274414,7.823392868041992,0.0,0.0,0.0,,,
T3_04_26_2021_1,T3,mlp_state,1,14.34297083333336,1031.0,1.4676000000000005,1.4026707161135143,-0.0649292838864861,0.0649292838864861,-4.424181240561876,138.0,139.0,0.0602597314864397,-1.5905799865722656,7.980010032653809,0.0,0.0,0.0,2.222572415484943,-0.0084467018023133,0.1967744976282119
T3_04_26_2021_1,T3,pinn_no_dynamics,1,14.34297083333336,1031.0,1.4676000000000005,1.1923575242049993,-0.2752424757950011,0.2752424757950011,-18.754597696579523,7.0,8.0,0.0543432574486359,-1.885388731956482,10.520651817321776,0.0,1.1096595579387385,1.491005301475525,5.975257934618364,-0.0128992740064859,0.622821033000946
T3_04_26_2021_1,T3,pinn_fulltrip,1,14.34297083333336,1031.0,1.4676000000000005,1.1365055136465363,-0.3310944863534639,0.3310944863534639,-22.56026753566802,7.0,8.0,0.2788094282150268,-2.2463693618774414,10.050585746765137,0.0,0.8724881733168465,1.0786340236663818,5.467019804023033,-0.0130681432783603,0.220223531126976
T3_04_26_2021_1,T3,pinn,1,14.34297083333336,1031.0,1.4676000000000005,1.2342128756062851,-0.2333871243937151,0.2333871243937151,-15.902638620449377,186.0,187.0,0.0479570926399901,-1.9974589347839355,10.537545204162598,0.0,1.213784825432208,1.4206011295318604,1.2001220703864268,-0.0011479433160275,0.0650327131152153
T3_04_26_2021_2,T3,constant,1,15.6523166666667,1032.0,1.5179999999999998,1.3810385416621864,-0.1369614583378133,0.1369614583378133,-9.022493961647786,,,,,,,,,,,
T3_04_26_2021_2,T3,physics,1,15.6523166666667,1032.0,1.5179999999999998,1.1209338597467944,-0.3970661402532054,0.3970661402532054,-26.15718974000036,,,,,,,,,,,
