epoch,train_loss,val_window_mae_kwh,grad_norm,w_state,dynamics_residual_rmse,w_boundary,l_dynamics,loss,w_window,dynamics_residual_mae,w_prior,l_window,w_dynamics,l_prior,l_boundary,l_state,val_mae_full_trip
10.0,1.494969931932596,0.5275492072105408,6.543043056399328,1.244831477678739,0.2672321739105078,0.0,0.0734121545862693,1.494969931932596,0.1692631759752448,0.1089465320110321,0.007463106656303772,0.1692631759752448,0.0734121545862693,0.07463106656303772,0.0,12.448314776787392,0.5275492072105408
11.0,1.4868907515819256,0.10927164554595947,6.726862651111366,1.21015688089224,0.2712915872152035,0.0,0.07601061090826988,1.4868907515819256,0.19517685372668964,0.1059019468151606,0.005546377685207587,0.19517685372668964,0.07601061090826988,0.05546377685207587,0.0,12.101568808922401,0.10927164554595947
12.0,1.4880226988058824,0.39412906765937805,6.309281109120994,1.1863646470583404,0.2592707425355911,0.0,0.06977447380240147,1.4880226988058824,0.2259731997664158,0.1038373215840413,0.005910361300294215,0.2259731997664158,0.06977447380240147,0.05910361300294216,0.0,11.863646470583403,0.39412906765937805
13.0,1.380467726634099,0.23009546101093292,6.583079821748239,1.1600112584921032,0.25467688189103055,0.0,0.06714176042721821,1.380467726634099,0.14637310430407524,0.10380578213013135,0.00694159958511591,0.14637310430407524,0.06714176042721821,0.0694159958511591,0.0,11.60011258492103,0.23009546101093292
14.0,1.3613615815456097,0.8356106281280518,6.439078767167105,1.1280083637971143,0.24932202696800232,0.0,0.06404582611643352,1.3613615815456097,0.16087281610816717,0.10218908236576961,0.008434544861889803,0.16087281610816717,0.06404582611643352,0.08434544861889802,0.0,11.280083637971144,0.8356106281280518
15.0,1.3355162625129406,0.30791279673576355,6.604321066640373,1.092425814041725,0.2527649448468135,0.0,0.06601361729777776,1.3355162625129406,0.1700503142693868,0.1007830357322326,0.007026515241998891,0.1700503142693868,0.06601361729777776,0.07026515241998893,0.0,10.924258140417246,0.30791279673576355
16.0,1.3498095663694234,0.5125144124031067,6.1591835130007375,1.0596996472432063,0.24069421337201044,0.0,0.05987619350735958,1.3498095663694234,0.22328774473414972,0.09983616093030342,0.006945944992968671,0.22328774473414972,0.05987619350735958,0.0694594499296867,0.0,10.596996472432064,0.5125144124031067
17.0,1.2310525133059576,0.46391773223876953,6.415621647600016,1.0240440662090593,0.2328382317836468,0.0,0.05621829227759288,1.2310525133059576,0.14129706300221956,0.09924536313001926,0.00949303752814348,0.14129706300221956,0.05621829227759288,0.09493037528143479,0.0,10.240440662090595,0.46391773223876953
18.0,1.237118280850924,0.22321529686450958,6.657815084535428,0.9865035717303937,0.23490175490195936,0.0,0.05706081252831679,1.237118280850924,0.18549955901331627,0.09530928157843076,0.008054322964296892,0.18549955901331627,0.05706081252831679,0.08054322964296891,0.0,9.865035717303936,0.22321529686450958
19.0,1.1458351772565107,0.3492318391799927,6.599528348676572,0.9428016644257765,0.2302837257201855,0.0,0.05485738727908868,1.1458351772565107,0.1405109712997308,0.09356814966751979,0.007665130080511938,0.1405109712997308,0.05485738727908868,0.07665130080511937,0.0,9.428016644257765,0.3492318391799927
20.0,1.0957922568688025,0.3137872517108917,6.556354100393966,0.9061580657958987,0.215052808706577,0.0,0.04805341764138295,1.0957922568688025,0.13345150649547577,0.090537890791893,0.008129255530925899,0.13345150649547577,0.04805341764138295,0.08129255530925897,0.0,9.061580657958984,0.3137872517108917
